Frequency,Segment,Metric,Value
Weekly,All,Dem Ratio Mean,0.5758142718465727
Weekly,All,Dem Ratio Median,0.6573965107985297
Weekly,All,Rep Ratio Mean,0.42418572815342726
Weekly,All,Rep Ratio Median,0.3426034892014704
Weekly,All,Total Cumulative Dem,370997993.0
Weekly,All,Total Cumulative Rep,139679730.0
Weekly,Small,Dem Ratio Mean,0.635604858491795
Weekly,Small,Dem Ratio Median,0.6343362230824241
Weekly,Small,Rep Ratio Mean,0.36439514150820496
Weekly,Small,Rep Ratio Median,0.3656637769175758
Weekly,Small,Total Cumulative Dem,40010995.0
Weekly,Small,Total Cumulative Rep,18490421.0
Weekly,Medium,Dem Ratio Mean,0.5998320583904675
Weekly,Medium,Dem Ratio Median,0.6418839937820158
Weekly,Medium,Rep Ratio Mean,0.40016794160953234
Weekly,Medium,Rep Ratio Median,0.3581160062179841
Weekly,Medium,Total Cumulative Dem,78914291.0
Weekly,Medium,Total Cumulative Rep,27239640.0
Weekly,Large,Dem Ratio Mean,0.6063388280580132
Weekly,Large,Dem Ratio Median,0.685290014481825
Weekly,Large,Rep Ratio Mean,0.3936611719419866
Weekly,Large,Rep Ratio Median,0.314709985518175
Weekly,Large,Total Cumulative Dem,252072707.0
Weekly,Large,Total Cumulative Rep,93949669.0
Monthly,All,Dem Ratio Mean,0.5518651006318482
Monthly,All,Dem Ratio Median,0.6500281657336436
Monthly,All,Rep Ratio Mean,0.44813489936815176
Monthly,All,Rep Ratio Median,0.3499718342663564
Monthly,All,Total Cumulative Dem,370997993.0
Monthly,All,Total Cumulative Rep,139679730.0
Monthly,Small,Dem Ratio Mean,0.6974446683769903
Monthly,Small,Dem Ratio Median,0.6849166416853009
Monthly,Small,Rep Ratio Mean,0.30255533162300974
Monthly,Small,Rep Ratio Median,0.3150833583146992
Monthly,Small,Total Cumulative Dem,40010995.0
Monthly,Small,Total Cumulative Rep,18490421.0
Monthly,Medium,Dem Ratio Mean,0.5169225162459257
Monthly,Medium,Dem Ratio Median,0.6096236007073818
Monthly,Medium,Rep Ratio Mean,0.48307748375407433
Monthly,Medium,Rep Ratio Median,0.3903763992926182
Monthly,Medium,Total Cumulative Dem,78914291.0
Monthly,Medium,Total Cumulative Rep,27239640.0
Monthly,Large,Dem Ratio Mean,0.5677961363880396
Monthly,Large,Dem Ratio Median,0.6743156248761708
Monthly,Large,Rep Ratio Mean,0.4322038636119604
Monthly,Large,Rep Ratio Median,0.3256843751238291
Monthly,Large,Total Cumulative Dem,252072707.0
Monthly,Large,Total Cumulative Rep,93949669.0
